matchId,tier,rank
NA1_5330585303,PLATINUM,I
NA1_5330378560,PLATINUM,I
NA1_5330339820,PLATINUM,I
NA1_5329719618,PLATINUM,I
NA1_5329110672,PLATINUM,I
NA1_5328433455,PLATINUM,I
NA1_5327861532,PLATINUM,I
NA1_5327792589,PLATINUM,I
NA1_5327529575,PLATINUM,I
NA1_5327153757,PLATINUM,I
NA1_5327131229,PLATINUM,I
NA1_5350971456,PLATINUM,I
NA1_5349249435,PLATINUM,I
NA1_5349222293,PLATINUM,I
NA1_5348788818,PLATINUM,I
NA1_5348125960,PLATINUM,II
NA1_5348088982,PLATINUM,I
NA1_5348056296,PLATINUM,I
NA1_5348021225,PLATINUM,I
NA1_5347098261,PLATINUM,I
NA1_5346623077,PLATINUM,I
NA1_5344941697,PLATINUM,I
NA1_5343351668,PLATINUM,I
NA1_5341934469,PLATINUM,I
NA1_5341053148,PLATINUM,I
NA1_5338528247,PLATINUM,I
NA1_5337037896,PLATINUM,II
NA1_5335541551,PLATINUM,I
NA1_5335327035,PLATINUM,I
NA1_5335306921,PLATINUM,I
NA1_5334151542,PLATINUM,I
NA1_5331580027,PLATINUM,I
NA1_5331033206,PLATINUM,I
NA1_5331018945,PLATINUM,I
NA1_5330029495,PLATINUM,I
NA1_5329840882,PLATINUM,I
NA1_5329834434,PLATINUM,I
NA1_5329248901,PLATINUM,I
NA1_5329207618,PLATINUM,I
NA1_5328979460,PLATINUM,I
NA1_5327916162,PLATINUM,I
NA1_5349586915,PLATINUM,I
NA1_5348987733,PLATINUM,I
NA1_5348975559,PLATINUM,I
NA1_5348959077,PLATINUM,I
NA1_5348728053,PLATINUM,I
NA1_5348275054,PLATINUM,I
NA1_5348266795,PLATINUM,I
NA1_5348259163,PLATINUM,I
NA1_5348255750,PLATINUM,I
NA1_5348246095,PLATINUM,I
NA1_5345383792,PLATINUM,I
NA1_5344615737,PLATINUM,I
NA1_5344587432,PLATINUM,I
NA1_5344427896,PLATINUM,I
NA1_5344176277,PLATINUM,I
NA1_5343793975,PLATINUM,I
NA1_5343778200,PLATINUM,I
NA1_5343755128,PLATINUM,I
NA1_5343338588,PLATINUM,I
NA1_5341791610,PLATINUM,I
NA1_5340755062,PLATINUM,I
NA1_5340729040,PLATINUM,I
NA1_5340701278,PLATINUM,I
NA1_5340663142,PLATINUM,I
NA1_5333749247,PLATINUM,I
NA1_5333722387,PLATINUM,I
NA1_5333580388,PLATINUM,I
NA1_5333560596,PLATINUM,I
NA1_5333536479,PLATINUM,I
NA1_5330862367,PLATINUM,I
NA1_5330846726,PLATINUM,I
NA1_5330831013,PLATINUM,I
NA1_5330813246,PLATINUM,I
NA1_5330769633,PLATINUM,I
NA1_5330734651,PLATINUM,I
NA1_5330301087,PLATINUM,I
NA1_5330290398,PLATINUM,I
NA1_5330284754,PLATINUM,I
NA1_5330271394,PLATINUM,I
NA1_5330259956,PLATINUM,I
NA1_5327898572,PLATINUM,I
NA1_5327878715,PLATINUM,I
NA1_5327705397,PLATINUM,I
NA1_5327696740,PLATINUM,I
NA1_5327678989,PLATINUM,I
NA1_5327653915,PLATINUM,I
NA1_5350375844,PLATINUM,I
NA1_5350341716,PLATINUM,I
NA1_5350296479,PLATINUM,II
NA1_5350260637,PLATINUM,I
NA1_5350217949,PLATINUM,I
NA1_5350174347,PLATINUM,I
NA1_5350142852,PLATINUM,I
NA1_5350109274,PLATINUM,I
NA1_5349894619,PLATINUM,I
NA1_5349782885,PLATINUM,I
NA1_5349770049,PLATINUM,I
NA1_5349754140,PLATINUM,I
NA1_5349748231,PLATINUM,I
NA1_5349729570,PLATINUM,I
NA1_5349490165,PLATINUM,I
NA1_5349454284,PLATINUM,I
NA1_5349416862,PLATINUM,I
NA1_5346095782,PLATINUM,I
NA1_5346083228,PLATINUM,I
NA1_5346070941,PLATINUM,I
NA1_5346054461,PLATINUM,I
NA1_5346033699,PLATINUM,I
NA1_5346022268,PLATINUM,I
NA1_5345506493,PLATINUM,I
NA1_5345494606,PLATINUM,I
NA1_5345484163,PLATINUM,I
NA1_5345476002,PLATINUM,I
NA1_5345466476,PLATINUM,I
NA1_5345455701,PLATINUM,I
NA1_5345362912,PLATINUM,I
NA1_5345331008,PLATINUM,I
NA1_5345325113,PLATINUM,I
NA1_5345303295,PLATINUM,I
NA1_5344767359,PLATINUM,I
NA1_5344756244,PLATINUM,I
NA1_5344745957,PLATINUM,I
NA1_5344729162,PLATINUM,I
NA1_5344722435,PLATINUM,I
NA1_5344710342,PLATINUM,I
NA1_5344539604,PLATINUM,I
NA1_5343873316,PLATINUM,I
NA1_5343868073,PLATINUM,I
NA1_5343859543,PLATINUM,I
NA1_5343855412,PLATINUM,I
NA1_5343846529,PLATINUM,I
NA1_5343838536,PLATINUM,I
NA1_5343830921,PLATINUM,I
NA1_5343821654,PLATINUM,I
NA1_5343810782,PLATINUM,I
NA1_5343790988,PLATINUM,I
NA1_5343781560,PLATINUM,I
NA1_5343759871,PLATINUM,I
NA1_5343671830,PLATINUM,I
NA1_5343639074,PLATINUM,I
NA1_5343600637,EMERALD,II
NA1_5343561102,EMERALD,IV
NA1_5343431080,PLATINUM,I
NA1_5343414763,PLATINUM,I
NA1_5343291832,PLATINUM,I
NA1_5343266035,PLATINUM,I
NA1_5343246797,PLATINUM,I
NA1_5343221139,PLATINUM,I
NA1_5343208061,PLATINUM,I
NA1_5343192056,PLATINUM,I
NA1_5343175199,PLATINUM,I
NA1_5343143660,EMERALD,II
NA1_5343138917,PLATINUM,I
NA1_5340109956,PLATINUM,I
NA1_5340099876,PLATINUM,I
NA1_5338861339,PLATINUM,I
NA1_5336142559,PLATINUM,I
NA1_5336121513,PLATINUM,I
NA1_5336098694,PLATINUM,I
NA1_5336080749,PLATINUM,I
NA1_5336064418,PLATINUM,I
NA1_5336022672,PLATINUM,I
NA1_5336006731,PLATINUM,I
NA1_5335991379,PLATINUM,I
NA1_5335913214,PLATINUM,I
NA1_5335569989,PLATINUM,I
NA1_5335525975,PLATINUM,I
NA1_5335025996,PLATINUM,I
NA1_5335014907,PLATINUM,I
NA1_5334993242,PLATINUM,I
