tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood
PLATINUM,I,kqtR_oWVq2NVVeDYfu1KJLSi9fjN0xBdLx8KzJWCPm98ePjZF7EcgUkuR8RrBdu5mSBPF3tMaY3oXA,47,107,120,False,False,True
PLATINUM,I,UPvo6xsJA8yo6WY-fcLSazlzosEjqXGb0ik13DkbkPIwhTOb6X58zDuATQJCSpLXeuT__9ANwrdk6g,25,5,6,False,False,False
PLATINUM,I,TkxNV3ZOnZHZlkNguFGw-YXfUfllMDQnbKMMz1fjZ0doVVZXts9-RdImitJzKFDTKBKK22JB4x_6hQ,56,97,91,False,False,True
PLATINUM,I,gpDQughUxIsbOiH3Omue1KSSmAKhey2W0EKcJnlN1SUylAja9HSsVFsMDF9lZzAJv40QrYqMg5ct7Q,13,32,34,False,False,False
PLATINUM,I,fWZ6jD5EfiFxN_atY-R5RHdZpqv3bGhVPHr7yNp0zAyOLl0Bc9ci4D231L7P8Kv4rn6SkLwPt6UPqA,40,73,82,False,False,False
PLATINUM,I,uXNfWDPD4Vx0XlylwxGUVMRy2M3YIo06WdtVffx9GlkCPamtNv3269Qtxh-vSMIWaIA0EwsIZ6Ur_g,42,21,11,False,False,True
PLATINUM,I,pE5x9ITJUGfljteNGZ7zkoHvTt_pATCfTyK5y6hIyOd1w1KuGdvdr_c-7PWsmbHOfKKaeax51hSw5w,22,39,32,False,False,False
PLATINUM,I,d64weIshySF3mIV9zL0wpQEiAb4w9LHb2d6g13H-PeGDNH298puYZCtOhCpHo5HTIPsaL5FjavgMRQ,28,2,4,False,False,False
PLATINUM,I,TOYK7Ndp4_jLnDwaqBbZpQ-EdC-3DInjS6-W_Sa2r8se1somOedrqdd_nzA_YD2hiktFOwi-rO4LcQ,20,22,15,False,False,False
PLATINUM,I,Kbd5qkj36hkns3bFkxvsWX9IRApmo2WmMzWGXAZLay2L8KUrpXBoyMv8M8H8Zj0H2F21GqYzm6FQgQ,10,45,22,False,False,False
PLATINUM,I,kN5Swk2kPKfpwe1UZl5Sjp0L10hKYO1-yqkCpD2lK0x9w6YAMd_FdOgo_if1l576vVsuIGSOf8PE2w,28,3,6,False,False,False
PLATINUM,I,YcvQhMs4LIQiUluXWrpAjVQfX3RSiURgLGbldLKJv4JFShLUug-ZHRUHeeIx_IswwXV7PQv4JL_LYg,9,83,70,False,False,False
PLATINUM,I,RWoAl2jGL9Nij-dpyiH75L8rS3GcGiduxysgpEapFzIWsI_-aaYcBbUgveMggs-GZGnTANCpaL3l_w,39,109,106,False,False,False
PLATINUM,I,dkOb3xOeafOHDvl7NdE9hfnx38ZQ30C-ZE59GiRjDbC_xbxdpGLiA3LivniKqEQ1E01Atd1uJnzGRA,55,134,121,False,False,False
PLATINUM,I,bV8ZkPM3bibkCS7-q3mQC7RGoeOXkcI2E9YymG47Sip06QndooJPRnZ0pYjpUuWHXJpBoxzII4Cvzw,90,4,4,False,False,False
