player,session_length,winrate
I9qXXaikZK-BCoOS5t3hyWQKmdzHZH-05pwDmejncn7m6u82p_xCZn7rDJvtlpKp8KIlYirKLapB5Q,15,26.67
Ia2wNbOgh5spq4FlRjOnYM_cUcCZX_F1osOSH9qgk4Y5iQZa4q1dtzopsP7lr6N9VG2d0Hwb1MZfzg,15,40.0
jB7URvK99I5zsiDvGVlsa5G4rdiadYGi1Jls-L1tjThCfhERUhA9-Gk_hw6cKZitds-b592iT6ODQQ,15,60.0
jB7URvK99I5zsiDvGVlsa5G4rdiadYGi1Jls-L1tjThCfhERUhA9-Gk_hw6cKZitds-b592iT6ODQQ,15,60.0
jPB90T6XJMx3ykZ0HjGAFeiTnZeut_qe1TKpXyfu2W5rDksFt8PEaaFbNn9JEUwy2D7SQkWGhtPIeg,15,26.67
jtCLY5yn0mnhspOu4HFzxlerk0OEoBzdD-NhTUQQ2McKOpUVTIVlaaoR8It3WjGTRzKpHdMFlG6OQQ,15,66.67
jtCLY5yn0mnhspOu4HFzxlerk0OEoBzdD-NhTUQQ2McKOpUVTIVlaaoR8It3WjGTRzKpHdMFlG6OQQ,15,46.67
JvnsQ3lc1oqXDneQZ69GIilOvQR8VxlEixfxOygUbR_5zLwJ16M2ldRUjmgOVwXf4ZWQBgOvKVqfQQ,15,53.33
JvnsQ3lc1oqXDneQZ69GIilOvQR8VxlEixfxOygUbR_5zLwJ16M2ldRUjmgOVwXf4ZWQBgOvKVqfQQ,15,53.33
jYejFWd643ScEzBVxhZYHe4q--efvYiQXWg-zIyJN03P7um1chkMmmny-PIrJqkpskRedBDtXzr8uw,15,60.0
j_TRu2ulIogfcip2tVN0ybW4zwBwBEq-Lsn0n6QTT-Qu9I7Qny38XBGFyIA8ensAnqALB046RbInSQ,15,66.67
KeE5BQljONsMwEL_CQiQsCF2lMFHjqGHm2I5HDxRdwm1GlBYFxUnLqDl0t7s-54VrfTFpeiqPGxrwg,15,46.67
KLgFHerNqrUG9U4t_BM4ZUbXdAlktitnUp0UzOjfqJRd99NYEVlPQwPcFLzhxVe88f62ruAd92Uq8Q,15,73.33
KlWhB03NWpHV8Tbd-QmyiG3hTX81cA0hf-mfZonpmBY37FITYt3T9A6vhDt3WKXpuXbjzN9qYMDxJw,15,73.33
