puuid,rank
06Gj3nB0sr6aLsjQ9UToHMF6PVnJlD2LByZUvTJ97iPzhKpBHUyxNX9Y5_mdlMcUwlCN8MU10XCRQw,GOLD IV
nMKLqH8OOqdcRhjREqt-n5XBSVL-R0dRcHyS_io3Zc24QOw_9iUyV46FkIhvU9iS30pRb_IIVNLbEA,SILVER I
9aZU_SsDgqHh4-mtaluLM0sDSWIV6asSFInEQei_FDHPhhNAZWOQ-9msOkehsNJqR_8ZBYbN0WXVFw,SILVER I
gj7Ps2ZK6WQZTpY83ZPPMJW6Yf5Y139q3ubEV6v7FEa3qkP-NbXQojKNyAzGt0foVRcfGSi7mt-4PA,SILVER I
UT91_Ggu8Hc7rv8qDlKrqiw7lIBr9WJuVvuNn6lp1-b06eMMcyxV5Su5_BMXoTAcYsS0lW5Vn2Rjbw,SILVER I
GBA9O3KKLy2mpCXyAD00zxjhn95t3eoLaHyr52E9Z4FUZv98C0_8ikXhlG6tzLF-fYlJzKXBpSdq4g,GOLD IV
N4dV2Y28T9LR_9TW5qemcm4ryx45s-HjsaZTGtAJ5To3IHf3R341LQ5oe7FISuQh1xMdv9qB1Cwu1g,SILVER II
fh0onuCreSjnP0kMQqzFn4AhY2119AYKMLRw2pqEECs-F5KeUkg7bwIuzLzKBuEJsRrpOeB3YeFY9w,SILVER I
Fzh85diqLbIY9B5WuHM1fxUNdERMxUpJeyGyfspsgLgpHbzxi03GYuY9-nPJXFqjZzJRZlARZ6sLDQ,SILVER I
dQVxuRyr7qfZFixma1UkhVJyTly0-zwLLlZZRcND74_fyrREkhVQhhMFcdHA1UwHzCmvuCTTROqTTQ,SILVER I
ePd3K3qFNs6McqsaPvAc9iSxFGGwQGaBpzEwvx37JzN1yxHP7UIU_f2PBeuRomz0wCor_-bX5l0OIQ,SILVER II
Zuh08GKMUmVm2VdSleR8ZPO6ylwm4AF5u_CFvXsKUkI169DyuvLyqt7YSZx-LGc_55Mq4WKOEdx2SQ,SILVER I
Fpxmpj3EAb2FeyEBZsV6BEaGaa2ApgNgTDIVhORurS7JnwB6pQzFnqzPnBBt3gCnjYLjvn0F5duT9Q,GOLD IV
39-Lo8EYFj0Y-w197wUoXx7pajBWfhM2-uLBbz3ZWUk6QGHtjo6rqsxAvcgmG08C3PZsLCyU-hYldA,SILVER IV
HMpT5ab83VRUnKya41e4zdwHR5U1R0ns9LZcCuDGFYQqD9l-rNitOsvIszHGWWkRXO12QlRhbNCbUA,BRONZE I
EHYueHyqUmL07eEpDfbc1zdYNEVd357m4h3Jpu3InJGSTkeD85kJYi0Zj6jDe6LCR6G7m0Wo-Q250g,SILVER I
DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,SILVER I
hwIqrm4JTvWLCd2OlXCcSBIzxTF1xn2cA9SXCdO1vWJBBO-bKc_0uS3wtj_K4IzaxTGyRef4mBsFMA,GOLD III
GV8JzZpMs6YrNa8xhcmiY8a96r-Ir-FPs2ZTrYVkAyh_rASiUUhjWpdvOBH-vCkYmUDe5iNqbha_0w,BRONZE I
XurxTHQrNJUCCvdPwItZK2RpKAIF-GHMHe-i3txwXTD5TrAA1_0VHmDsB8SI-foTmBUAFinmim98Kw,SILVER IV
IRlhL_WTzciQPnhqsApLQgZg7oXatFwH-VQ_VhD4SKo_T1nwCiUGP00rXIOrNnu5ootvzTKtz2qZ2w,GOLD IV
ft3QEr_8p0USHsf0Dj94EoRgfhXCyd4u_2ocZK2MtZp1LOCoFjhDhzFvLvOxm34IDX3pzHNspsdTMQ,SILVER II
kDrs6FaT8sldhyZIAkoNKjx67l7nT5oyw3GpYHWkxhwXJRip9JYdbwSdeCCSaxMMLphsPnHrRvRtaw,GOLD IV
8vtu-RQ118PS87H174A13GtcHNqCkxiWkeusE_dCbKd3CH7uSusFImOHSHtvBELhYY3Zu6XEjes8Eg,GOLD IV
xG-xdKtXlU3nrUfuj9Xv8zK30C8z8cWssphqA104VeuIbTiC15sHgDU2uJysZsx07QCS0HW4TIZ9tQ,SILVER II
